packet_id,organization_name,proposed_tag,resolution_status,resolved_tag_id,resolved_tag_slug,resolved_tag_name,resolved_tag_category,rationale,note
curated-sme-a-004-lakeside-cnc-group,Lakeside CNC Group,industrial services,deferred,,,,,No exact live taxonomy tag exists for industrial repair services.,Requires taxonomy decision or future tag expansion.
curated-sme-a-004-lakeside-cnc-group,Lakeside CNC Group,repair operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live tag for the documented repair-management workflow.,Resolved against live public.tags in the hosted project.
curated-sme-a-004-lakeside-cnc-group,Lakeside CNC Group,service workflow,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for process redesign and workflow automation.,Resolved against live public.tags in the hosted project.
curated-sme-a-004-lakeside-cnc-group,Lakeside CNC Group,customer request management,resolved,02bb6ae2-908c-4990-9222-b62b9ea5df5a,visibility,Visibility,problem_category,Closest live problem category because the documented pain point is poor request and status visibility.,Resolved against live public.tags in the hosted project.
curated-sme-a-005-electric-mirror,Electric Mirror,manufacturing,resolved,b62612f5-4cb2-4a26-aa5c-a10edd416374,manufacturing,Manufacturing,industry,Exact live industry tag exists.,Resolved against live public.tags in the hosted project.
curated-sme-a-005-electric-mirror,Electric Mirror,crm modernization,resolved,c0ac22e3-d753-4c96-807d-e646c3a4672c,it,IT,function,Closest live function tag for CRM platform change.,Resolved against live public.tags in the hosted project.
curated-sme-a-005-electric-mirror,Electric Mirror,sales operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for the cited sales workflow issue.,Resolved against live public.tags in the hosted project.
curated-sme-a-005-electric-mirror,Electric Mirror,operational efficiency,resolved,97a2cec3-d2d0-499b-9348-7a761f95670c,efficiency,Efficiency,problem_category,Closest live problem-category tag for the documented efficiency goal.,Resolved against live public.tags in the hosted project.
curated-sme-b-001-budgy-smuggler,Budgy Smuggler,retail operations,resolved,6ddafadc-942e-4b42-a05b-9b7c3adbdd52,retail,Retail,industry,Closest live industry tag for the owner's retail business.,Resolved against live public.tags in the hosted project.
curated-sme-b-001-budgy-smuggler,Budgy Smuggler,ecommerce,resolved,6ddafadc-942e-4b42-a05b-9b7c3adbdd52,retail,Retail,industry,No ecommerce-specific live tag exists; retail is the closest approved industry tag.,Resolved against live public.tags in the hosted project.
curated-sme-b-001-budgy-smuggler,Budgy Smuggler,custom orders,deferred,,,,,No exact live taxonomy tag exists for custom-order management.,Requires taxonomy decision or future tag expansion.
curated-sme-b-001-budgy-smuggler,Budgy Smuggler,order workflow,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for order-process workflow management.,Resolved against live public.tags in the hosted project.
curated-sme-b-002-madhus,Madhu's,hospitality operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Hospitality is not in the current live taxonomy; operations is the closest approved tag for the actual workflow issue.,Resolved against live public.tags in the hosted project.
curated-sme-b-002-madhus,Madhu's,event management,deferred,,,,,No exact live taxonomy tag exists for event management.,Requires taxonomy decision or future tag expansion.
curated-sme-b-002-madhus,Madhu's,workforce administration,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for staffing and process administration.,Resolved against live public.tags in the hosted project.
curated-sme-b-002-madhus,Madhu's,workflow automation,resolved,97a2cec3-d2d0-499b-9348-7a761f95670c,efficiency,Efficiency,problem_category,Closest live problem-category tag for automation of repetitive event and HR workflows.,Resolved against live public.tags in the hosted project.
curated-sme-b-003-my-wall-panels,My Wall Panels,ecommerce operations,resolved,6ddafadc-942e-4b42-a05b-9b7c3adbdd52,retail,Retail,industry,Closest live industry tag for the owner's retail business.,Resolved against live public.tags in the hosted project.
curated-sme-b-003-my-wall-panels,My Wall Panels,order tracking,resolved,02bb6ae2-908c-4990-9222-b62b9ea5df5a,visibility,Visibility,problem_category,Closest live problem-category tag because the problem is missing order-status visibility.,Resolved against live public.tags in the hosted project.
curated-sme-b-003-my-wall-panels,My Wall Panels,retail workflow,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for workflow improvement.,Resolved against live public.tags in the hosted project.
curated-sme-b-003-my-wall-panels,My Wall Panels,finance process,resolved,101a20de-f7ba-4988-ae4e-88f46ca1c33e,finance,Finance,function,Exact live finance function tag exists.,Resolved against live public.tags in the hosted project.
curated-sme-b-004-counter-culture,Counter Culture Coffee,retail operations,resolved,6ddafadc-942e-4b42-a05b-9b7c3adbdd52,retail,Retail,industry,Closest live industry tag for the owner's retail and ecommerce activity.,Resolved against live public.tags in the hosted project.
curated-sme-b-004-counter-culture,Counter Culture Coffee,data visibility,resolved,02bb6ae2-908c-4990-9222-b62b9ea5df5a,visibility,Visibility,problem_category,Exact live problem-category fit for the cited visibility gap.,Resolved against live public.tags in the hosted project.
curated-sme-b-004-counter-culture,Counter Culture Coffee,business systems,resolved,c0ac22e3-d753-4c96-807d-e646c3a4672c,it,IT,function,Closest live function tag for disconnected business-system tooling.,Resolved against live public.tags in the hosted project.
curated-sme-b-004-counter-culture,Counter Culture Coffee,process centralization,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for centralizing processes.,Resolved against live public.tags in the hosted project.
curated-sme-b-005-rade-street,Rade Street,retail checkout,resolved,6ddafadc-942e-4b42-a05b-9b7c3adbdd52,retail,Retail,industry,Closest live industry tag for the store's retail operation.,Resolved against live public.tags in the hosted project.
curated-sme-b-005-rade-street,Rade Street,point of sale,resolved,c0ac22e3-d753-4c96-807d-e646c3a4672c,it,IT,function,Closest live function tag for digital transaction tooling in the current taxonomy.,Resolved against live public.tags in the hosted project.
curated-sme-b-005-rade-street,Rade Street,billing control,resolved,101a20de-f7ba-4988-ae4e-88f46ca1c33e,finance,Finance,function,Closest live function tag for billing and profitability-control workflows.,Resolved against live public.tags in the hosted project.
curated-sme-b-005-rade-street,Rade Street,store operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Exact live function fit for the documented store workflow issue.,Resolved against live public.tags in the hosted project.
curated-sme-b-006-green-endeavour,Green Endeavour,food distribution,deferred,,,,,No exact live industry tag exists for food distribution in the current taxonomy.,Requires taxonomy decision or future tag expansion.
curated-sme-b-006-green-endeavour,Green Endeavour,customer onboarding,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for customer onboarding workflow.,Resolved against live public.tags in the hosted project.
